created_at,author_id,attachments/media_keys/0,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,source,id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,geo/place_id,text,conversation_id,lang,reply_settings,possibly_sensitive,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,in_reply_to_user_id,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,referenced_tweets/0/type,referenced_tweets/0/id,attachments/media_keys/1,attachments/media_keys/2,attachments/media_keys/3,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/urls/0/unwound_url,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,context_annotations/3/entity/description,context_annotations/4/entity/description,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,context_annotations/0/entity/description,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/6/domain/id,context_annotations/6/domain/name,context_annotations/6/domain/description,context_annotations/6/entity/id,context_annotations/6/entity/name,context_annotations/7/domain/id,context_annotations/7/domain/name,context_annotations/7/domain/description,context_annotations/7/entity/id,context_annotations/7/entity/name,context_annotations/8/domain/id,context_annotations/8/domain/name,context_annotations/8/domain/description,context_annotations/8/entity/id,context_annotations/8/entity/name,context_annotations/8/entity/description,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,context_annotations/5/entity/description,context_annotations/6/entity/description,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/hashtags/10/start,entities/hashtags/10/end,entities/hashtags/10/tag,entities/hashtags/11/start,entities/hashtags/11/end,entities/hashtags/11/tag,entities/hashtags/12/start,entities/hashtags/12/end,entities/hashtags/12/tag,entities/hashtags/13/start,entities/hashtags/13/end,entities/hashtags/13/tag
2021-04-29T13:12:42+00:00,1193223307744681986,31387756729631449089,28,32,0.3281,Place,Covid,221,247,MedicinasUrgentesParaVzla,248,271,https://t.co/0RQAHhzcr0,https://twitter.com/Untsucrearagua2/status/1387756731917275139/photo/1,pic.twitter.com/0RQAHhzcr0,Twitter for Android,1387756731917275139,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,6,0,4,1,0115394f017772df,"Atender a los pacientes con Covid-19 es una tragedia diaria, pues el tratamiento es costoso y precario. El régimen es indolente he ineficiente, solo le interesa mantener el poder sin importar la vida de los venezolanos. 
#MedicinasUrgentesParaVzla https://t.co/0RQAHhzcr0",1387756731917275139,es,everyone,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28T21:17:54+00:00,67153643,,16,30,0.9755,Person,Beltrán Sánchez,0,6,28Abr,255,278,https://t.co/McAg7ZS6xP,https://cutt.ly/bvCR,cutt.ly/bvCR,Twitter for Android,1387516449112174595,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,18,0,30,0,00dd051c4ae032b0,"#28Abr El padre Beltrán Sánchez superó el #Covid_19. El párroco d la iglesia Santa Cruz de Pacairigua d #Guatire recibió el alta médica del Hosp Victorino Santaella d #LosTeques
Seguirá con tratamiento y supervisión en casa para recuperase d las secuelas
https://t.co/McAg7ZS6xP",1387516449112174595,es,everyone,False,77,100,0.2847,Place,Santa Cruz de Pacairigua,140,163,0.4398,Organization,Hosp Victorino Santaella,42,51,Covid_19,104,112,Guatire,167,177,LosTeques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T21:55:49+00:00,67153643,,94,108,0.5383,Person,Lotty Colemares,0,6,26Abr,250,273,https://t.co/cZjnqgz6dv,https://cutt.ly/ZU1c5,cutt.ly/ZU1c5,Twitter for Android,1386801211593142274,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,8,0,4,1,01c93e351e3122fb,"#26Abr Al final de la noche del domingo #25Abr falleció la enfermera del Hospital de #Guatire Lotty Colemares (58) por complicaciones derivadas del #COVID19. Murió en la UCI del hospital centinela, esperando conseguir el tratamiento que le indicaron
https://t.co/cZjnqgz6dv",1386801211593142274,es,everyone,False,,,,,,,,,,,40,46,25Abr,85,93,Guatire,148,156,COVID19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T13:50:57+00:00,1353805316631244802,31386679179828203521,193,198,0.9243,Place,Cumaná,212,237,SucreProducePorVenezuela,238,261,https://t.co/joIs14ikdF,https://twitter.com/lucycoa_/status/1386679191169556481/photo/1,pic.twitter.com/joIs14ikdF,Twitter for Android,1386679191169556481,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,1,0,0,0,0165fd44316e9f7f,"Se entegaron 6 nuevos equipos de ventilación mecánica y 30 nuevas camas clínicas, lo que permitirá la ampliación del área de tratamiento intermedio, para pacientes con covid-19 del hospital de Cumaná y Carúpano.
#SucreProducePorVenezuela https://t.co/joIs14ikdF",1386679191169556481,es,everyone,False,202,209,0.8303,Place,Carúpano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T10:08:44+00:00,1050203478327476225,,,,,,,,,,,,,,,Twitter for Android,1386623268623355904,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,1,0,1,0,01c93e351e3122fb,TRATAMIENTO PARA COVID-19 YA     VACUNAS YA,1386623268623355904,es,everyone,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T10:02:53+00:00,1050203478327476225,,,,,,,,,,,,,,,Twitter for Android,1386621798670811140,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,1,0,2,0,01c93e351e3122fb,"@NicolasMaduro PRESIDENTE UD. DIJO Q HOSPITAL Y CDI TIENEN TRATAMIENTO PARA COVID-19, SI ES ASÍ ALGUIEN NO LO DA, ME OFREZCO PARA IR A ESA TRINCHERA Y ENTREGAR TRATAMIENTO, DONDE SEA Y QUIEN SEA @clarcklaurens1 @ejdecena @HectoRodriguez @PCV_Ve",1386621798670811140,es,everyone,False,,,,,,,,,,,,,,,,,,,,1252764865,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,0,14,NicolasMaduro,195,210,clarcklaurens1,211,220,ejdecena,221,236,HectoRodriguez,237,244,PCV_Ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T09:56:47+00:00,1050203478327476225,,,,,,,,,,,,,,,Twitter for Android,1386620261458456578,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,1,0,2,0,01c93e351e3122fb,"@ejdecena @NicolasMaduro @clarcklaurens1 @PaolaKatari @PCV_Ve ESPERO QUE CAMBIE, 1 DE LAS PERSONAS CON COVID-19 ESTÁ SALIENDO DE UN CANCER , CLARO CAMBIA QUE EL PRESIDENTE DE EL TRATAMIENTO COMPLETO PARA LOS 3 , Y TODO EL PUEBLO Q LO NECESITA, ME OFREZCO PARA ENTREGAR ESE TRATAMIENTO DONDE SEA, QUIEN SEA, ESPERO POR UD PRESIDENTE .",1386617512436056064,es,everyone,False,,,,,,,,,,,,,,,,,,,,96431099,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,0,9,ejdecena,10,24,NicolasMaduro,25,40,clarcklaurens1,41,53,PaolaKatari,54,61,PCV_Ve,replied_to,1386617722998595589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T09:45:51+00:00,1050203478327476225,,,,,,,,,,,,,,,Twitter for Android,1386617512436056064,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,3,1,3,0,01c93e351e3122fb,"@NicolasMaduro PRESIDENTE UD DIJO Q ESTÁ GARANTIZADO PARA EL PUEBLO TRATAMIENTO DE COVID-19, DONDE LO DAN HOSPITALES Y CDI NO LO TIENEN, TENGO 2 SOBRINOS Y SU MAMÁ CON EL VIRUS, LO NECESITAMOS Y NO PODEMOS COMPRARLO, DONDE LOS DAN @clarcklaurens1 @ejdecena @PaolaKatari @PCV_Ve",1386617512436056064,es,everyone,False,,,,,,,,,,,,,,,,,,,,1252764865,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,0,14,NicolasMaduro,231,246,clarcklaurens1,247,256,ejdecena,257,269,PaolaKatari,270,277,PCV_Ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T02:59:01+00:00,1321877483881418755,31386514968514863104,63,67,0.3474,Place,COVID,121,145,LaVictoriaEsDeVenezuela,266,289,https://t.co/IORb0sQftY,https://twitter.com/FeliciaIvss/status/1386515128301068292/photo/1,pic.twitter.com/IORb0sQftY,Twitter for Android,1386515128301068292,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2,0,1,0,00914f80743a0863,Se Entregan Tratamiento Farmacológico a los Pte Recuperados de COVID-19 Para el Reforzamiento de su Sistema Inmunológico #LaVictoriaEsDeVenezuela  Gracias a Nuestro Pdte @NicolasMaduro a la Gestión de Nuestra Podrá @MagaGutierrezV @ivssoficial #ViviremosYVenceremos https://t.co/IORb0sQftY,1386515128301068292,es,everyone,False,,,,,,,,,,,244,265,ViviremosYVenceremos,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,170,184,NicolasMaduro,215,230,MagaGutierrezV,231,243,ivssoficial,,,,,,,,,31386515012932485120,31386515058180739072,31386515124073242624,266,289,https://t.co/IORb0sQftY,https://twitter.com/FeliciaIvss/status/1386515128301068292/photo/1,pic.twitter.com/IORb0sQftY,266,289,https://t.co/IORb0sQftY,https://twitter.com/FeliciaIvss/status/1386515128301068292/photo/1,pic.twitter.com/IORb0sQftY,266,289,https://t.co/IORb0sQftY,https://twitter.com/FeliciaIvss/status/1386515128301068292/photo/1,pic.twitter.com/IORb0sQftY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26T01:38:53+00:00,1050203478327476225,,150,158,0.9433,Place,VENEZUELA,,,,,,,,,Twitter for Android,1386494963656138757,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,5,0,3,0,01c93e351e3122fb,"@ejdecena @NicolasMaduro @nicmaduroguerra @HectoRodriguez @ejdecena @clarcklaurens1 PRESIDENTE EN DIAS PASADO POR TELEVISIÓN UD.DIJO QUE EL PUEBLO DE VENEZUELA TENIA GARANTIZADO  EL TRATAMIENTO  PARA COVID-19, AHORITA TENGO 1 ADULTO Y 2 ADOLESCENTES DONDE BUSCO EL TRATAMIENTO",1386492624715005953,es,everyone,False,,,,,,,,,,,,,,,,,,,,96431099,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,0,9,ejdecena,10,24,NicolasMaduro,25,41,nicmaduroguerra,42,57,HectoRodriguez,58,67,ejdecena,replied_to,1386492624715005953,,,,,,,,,,,,,,,,,,,68,83,clarcklaurens1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-21T03:05:56+00:00,1193223307744681986,31384704912416772099,61,65,0.3713,Organization,Covid,247,263,VacunasUrgentes,196,219,https://t.co/ntcq36O0r9,http://Dios.es,Dios.es,Twitter for Android,1384704929378578432,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2,0,1,0,0115394f017772df,"El sueldo mínimo mensual es de 2$ y el tratamiento contra la Covid-19 va desde 800$ a más de 1000$ ¿Quién puede pagarlo? Solo la élite del régimen,  de resto los venezolanos estamos a la buena de https://t.co/ntcq36O0r9 necesario vacunar a todos.
#VacunasUrgentes https://t.co/znatBOK2wA",1384704929378578432,es,everyone,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,287,https://t.co/znatBOK2wA,https://twitter.com/Untsucrearagua2/status/1384704929378578432/photo/1,pic.twitter.com/znatBOK2wA,,,,,,,,,,,,,,http://Dios.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-21T01:01:32+00:00,1074411170331877384,,37,41,0.3075,Organization,Covid,66,82,salariodehambre,,,,,,Twitter for Android,1384673622594359298,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,5,0,2,0,01a74227630d48a8,"Pagar el tratamiento para superar la Covid-19 es imposible con el #salariodehambre producto de la catástrofe económica del régimen.

En los hogares venezolanos la familia no puede ni siquiera comprar alimentos para cubrir las 3 comidas diarias.  #VacunaciónUrgente",1384673622594359298,es,everyone,False,,,,,,,,,,,246,264,VacunaciónUrgente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19T13:01:16+00:00,1353805316631244802,31384129945845133322,,,,,,0,13,LaVozDeSucre,219,242,https://t.co/dJflLoYIgS,https://twitter.com/lucycoa_/status/1384129974509006860/photo/1,pic.twitter.com/dJflLoYIgS,Twitter for Android,1384129974509006860,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,7,0,1,0,0165fd44316e9f7f,"#LaVozDeSucre El tratamiento intensivo para la atención de paciente con covid-19, está distribuido en los principales centros centinelas. @EdwinRojasM 

@LaVozDeSucre_ 
#AbrilDeFuegoPatrio #SucreEsIndependenciaYLealtad https://t.co/dJflLoYIgS",1384129974509006860,es,everyone,False,,,,,,,,,,,169,188,AbrilDeFuegoPatrio,189,218,SucreEsIndependenciaYLealtad,,,,,,,,,,,,,,,,,138,150,EdwinRojasM,153,167,LaVozDeSucre_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14T15:23:14+00:00,110506448,,,,,,,,,,,,,,,Twitter for Android,1382353763055259648,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,0,0,1,0,008eb02a542ac3d4,"1 ampolla de tocilizumab (actemra) tiene un costo de 600$, la consigues económica en 520$. La están indicando como parte del tratamiento para el covid-19 (unas 6 ampollas). A cuidarse!",1382353763055259648,es,everyone,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14T09:47:23+00:00,148430360,,,,,,,,,,,,,,,Twitter for Android,1382269241324363777,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,1,0,1,0,00c6d37a4dec6abf,@drodriven2 @OianeB @NicolasMaduro Camarada y porque hay tanta gente haciendo rifa y pidiendo donaciones para poder comprar el tratamiento contra el covid 19 no es un montaje es una realidad que estamos viviendo y no podemos tapar ☀️☀️con los dedos,1380980919515877379,es,everyone,False,,,,,,,,,,,,,,,,,,,,1241867391711272960,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,0,11,drodriven2,12,19,OianeB,20,34,NicolasMaduro,,,,,,,replied_to,1380980919515877379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13T10:19:47+00:00,132167541,,,,,,,,,,173,196,https://t.co/mEDnbEFscz,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(21)00160-0/fulltext,thelancet.com/journals/lanre…,Twitter for Android,1381915007026335745,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,0,0,0,0,01a74227630d48a8,"Budesonida, un glucocorticoide inhalado, parece ser un tratamiento eficaz para la infección temprana por COVID-19, que podría aplicarse a los sistemas sanitarios mundiales. https://t.co/mEDnbEFscz",1381915007026335745,es,everyone,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12T14:31:05+00:00,1353805316631244802,31381615855574863876,54,97,0.4125,Place,hospital Santos Aníbal Dominicci de Carúpano,0,13,LaVozDeSucre,278,301,https://t.co/PV6HicoWwx,https://twitter.com/lucycoa_/status/1381615861220380676/photo/1,pic.twitter.com/PV6HicoWwx,Twitter for Android,1381615861220380676,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,1,0,0,0,0165fd44316e9f7f,"#LaVozDeSucre📣 .Se realizó dotación de insumos en el hospital Santos Aníbal Dominicci de Carúpano, Para garantizar el tratamiento y óptima atención a pacientes con la covid-19.

#LaVozDeSucre
#SucreSeCuidaContraElCovid
@nicolasmaduro 
@mippcivzla 
@presidencialven
@EdwinRojasM https://t.co/PV6HicoWwx",1381615861220380676,es,everyone,False,,,,,,,,,,,178,191,LaVozDeSucre,192,218,SucreSeCuidaContraElCovid,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,219,233,NicolasMaduro,235,246,Mippcivzla,248,264,PresidencialVen,265,277,EdwinRojasM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12T14:03:38+00:00,1366409701559332873,,75,118,0.4389,Place,hospital Santos Aníbal Dominicci de Carúpano,200,226,SucreSeCuidaContraElCovid,,,,,,Twitter for Android,1381608956469121027,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,0,0,0,0,012a9ff7509f33b5,"@EdwinRojasM, desde @LaVozDeSucre_:  ""Se realizó dotación de insumos en el hospital Santos Aníbal Dominicci de Carúpano, Para garantizar el tratamiento y óptima atención a pacientes con la covid-19.""
#SucreSeCuidaContraElCovid
@nicolasmaduro 
@presidencialven @mayurisantuare2",1381608956469121027,es,everyone,False,,,,,,,,,,,,,,,,,,,,140922830,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,0,12,EdwinRojasM,20,34,LaVozDeSucre_,227,241,NicolasMaduro,243,259,PresidencialVen,260,276,mayurisantuare2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12T02:49:51+00:00,2193480042,,,,,,,,,,25,48,https://t.co/GgTuaXluHc,https://eldiario.com?p=157848,eldiario.com/?p=157848,Twitter for Android,1381439392791822338,,,,,,10,0,8,0,0058b0cb7e695890,@leometal7 @carmeLaLongo https://t.co/GgTuaXluHc,1381392030589456384,und,everyone,False,,,,,,,,,,,,,,,,,,,,148798897,,,,,,,,,,,,,0,10,leometal7,11,24,carmeLaLongo,,,,,,,,,,replied_to,1381392030589456384,,,,,,,,,,,,,,,,,,,,,,https://eldiario.com/2021/04/07/donde-comprar-remdesivir-caracas-tratamiento-covid-19/,https://pbs.twimg.com/news_img/1390685324192493573/zz41UZsS?format=jpg&name=orig,1600,1067,https://pbs.twimg.com/news_img/1390685324192493573/zz41UZsS?format=jpg&name=150x150,150,150,200,¿Dónde comprar remdesivir para el tratamiento del covid-19 en Caracas?,En Venezuela se está usando el remdesivir para el tratamiento del covid-19. Te contamos dónde se puede conseguir y su eficacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
