possibly_sensitive,id,reply_settings,source,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,created_at,lang,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,author_id,text,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,attachments/media_keys/0,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,in_reply_to_user_id,referenced_tweets/0/type,referenced_tweets/0/id,context_annotations/0/entity/description,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/hashtags/10/start,entities/hashtags/10/end,entities/hashtags/10/tag,geo/place_id,attachments/media_keys/1,attachments/media_keys/2,attachments/media_keys/3,entities/hashtags/11/start,entities/hashtags/11/end,entities/hashtags/11/tag,entities/hashtags/12/start,entities/hashtags/12/end,entities/hashtags/12/tag,entities/hashtags/13/start,entities/hashtags/13/end,entities/hashtags/13/tag,entities/hashtags/14/start,entities/hashtags/14/end,entities/hashtags/14/tag,entities/hashtags/15/start,entities/hashtags/15/end,entities/hashtags/15/tag,entities/hashtags/16/start,entities/hashtags/16/end,entities/hashtags/16/tag,entities/hashtags/17/start,entities/hashtags/17/end,entities/hashtags/17/tag,entities/hashtags/18/start,entities/hashtags/18/end,entities/hashtags/18/tag,entities/hashtags/19/start,entities/hashtags/19/end,entities/hashtags/19/tag,entities/hashtags/20/start,entities/hashtags/20/end,entities/hashtags/20/tag,entities/hashtags/21/start,entities/hashtags/21/end,entities/hashtags/21/tag,entities/hashtags/22/start,entities/hashtags/22/end,entities/hashtags/22/tag,entities/hashtags/23/start,entities/hashtags/23/end,entities/hashtags/23/tag,entities/hashtags/24/start,entities/hashtags/24/end,entities/hashtags/24/tag,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/5/entity/description,context_annotations/6/domain/id,context_annotations/6/domain/name,context_annotations/6/domain/description,context_annotations/6/entity/id,context_annotations/6/entity/name,context_annotations/7/domain/id,context_annotations/7/domain/name,context_annotations/7/domain/description,context_annotations/7/entity/id,context_annotations/7/entity/name,context_annotations/7/entity/description,context_annotations/8/domain/id,context_annotations/8/domain/name,context_annotations/8/domain/description,context_annotations/8/entity/id,context_annotations/8/entity/name,context_annotations/8/entity/description
False,1389927522352123904,everyone,Twitter for Android,97,105,0.9978,Place,Venezuela,211,234,https://t.co/p69GpT07YQ,https://www.gofundme.com/f/graciasvenezuela?utm_campaign=p_cp_url&utm_medium=os&utm_source=customer,gofundme.com/f/graciasvenez…,236,259,https://t.co/PZdCMy0I5F,https://www.gofundme.com/f/estamos-juntos-en-esto?utm_campaign=p_cp_url&utm_medium=os&utm_source=customer,gofundme.com/f/estamos-junt…,2021-05-05T12:58:39+00:00,es,195,1,125,6,1389927522352123904,1286882788709457925,"🇻🇪 DIFUNDIR ‼️

Estos son links de gofoundme para ayudar a la situación de algunas personas en Venezuela, sería de mucha ayuda si los compartieran. Si pueden donar por favor háganlo, hasta con 1$ nos ayudan❗️ 

https://t.co/p69GpT07YQ

https://t.co/PZdCMy0I5F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1389086306110693378,everyone,Twitter Web App,183,191,0.3724,Person,GoFoundMe,194,217,https://t.co/cikMWran3R,https://gofundme.com/f/2d10vky57c?utm_source=customer&utm_medium=copy_link_all&utm_campaign=p_cp+share-sheet,gofundme.com/f/2d10vky57c?u…,279,302,https://t.co/5uIEQEQWYP,https://twitter.com/FinallyJean/status/1389086306110693378/photo/1,pic.twitter.com/5uIEQEQWYP,2021-05-03T05:15:58+00:00,es,28,1,10,4,1389086306110693378,282618422,"!DIFUNDIR POR FAVOR!

A mi tío (81 años) le diagnosticaron Covid19 y necesita ayuda para cubrir los gastos que la enfermedad conlleva. Agradezco cualquier aporte que puedan hacer por GoFoundMe (https://t.co/cikMWran3R) o por las cuentas de la imagen. 

#3May #ElTigre #Venezuela https://t.co/5uIEQEQWYP",253,258,3May,259,267,ElTigre,268,278,Venezuela,31389085930749841408,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1388368404080377857,everyone,IFTTT,,,,,,224,247,https://t.co/CgrmiUdBtw,https://bit.ly/2QLdZy7,bit.ly/2QLdZy7,,,,,,2021-05-01T05:43:16+00:00,en,1,0,2,0,1388368404080377857,918749598,RT quimd8: @RedPaloVerde @paloverde_lomas @LomasDelAvila @RedLaUrbina @FilasdeMariches @VozdePetare @EquipoSucre @FaroComunitario @ParqueCaiza @tdeguaicoco #GoFoundMe #GoFounders #Venezuela #Petare #Caracas @unosvenezolanos https://t.co/CgrmiUdBtw,156,166,GoFoundMe,167,178,GoFounders,179,189,Venezuela,,,,,,,190,197,Petare,198,206,Caracas,11,24,RedPaloVerde,25,41,paloverde_lomas,42,56,LomasDelAvila,57,69,RedLaUrbina,70,86,FilasdeMariches,87,99,VozdePetare,100,112,EquipoSucre,113,129,FaroComunitario,130,142,ParqueCaiza,143,155,tdeguaicoco,207,223,unosvenezolanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1388358138550788102,everyone,Twitter for Android,,,,,,213,236,https://t.co/y5T3iy60vm,https://twitter.com/alexandraglez_/status/1388311679528734730,twitter.com/alexandraglez_…,,,,,,2021-05-01T05:02:29+00:00,und,1,0,1,0,1388358138550788102,1071191330674610181,@RedPaloVerde @paloverde_lomas @LomasDelAvila @RedLaUrbina @FilasdeMariches @VozdePetare @EquipoSucre @FaroComunitario @ParqueCaiza @tdeguaicoco #GoFoundMe #GoFounders #Venezuela #Petare #Caracas @unosvenezolanos https://t.co/y5T3iy60vm,145,155,GoFoundMe,156,167,GoFounders,168,178,Venezuela,,119,Holiday,Holidays like Christmas or Halloween,1286645331686350848,Dia de la Independencia (Grito de Dolores) ,179,186,Petare,187,195,Caracas,0,13,RedPaloVerde,14,30,paloverde_lomas,31,45,LomasDelAvila,46,58,RedLaUrbina,59,75,FilasdeMariches,76,88,VozdePetare,89,101,EquipoSucre,102,118,FaroComunitario,119,131,ParqueCaiza,132,144,tdeguaicoco,196,212,unosvenezolanos,528897928,quoted,1388311679528734730,This entity includes conversations about Dia de la Independencia (Grito de Dolores) for all years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1388337486254968833,everyone,Twitter Web App,61,69,0.9658,Place,VENEZUELA,248,271,https://t.co/HZi8qrttNU,https://twitter.com/IssaCgv/status/1388301709445902341,twitter.com/IssaCgv/status…,,,,,,2021-05-01T03:40:25+00:00,es,2,0,3,0,1388337486254968833,3805206028,"El gran @AlexTienda luego de hacer una MAGISTRAL serie sobre VENEZUELA, ha generado un Gofoundme, para recolectar dinero y poder ayudar a la comunidad de Petare, que tanta necesidad padece! Difundamos esto para llegar a la meta!

#graciasvenezuela https://t.co/HZi8qrttNU",230,247,graciasvenezuela,,,,,,,,,,,,,,,,,,,8,19,AlexTienda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quoted,1388301709445902341,,154,159,0.962,Place,Petare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1387546509202317312,everyone,Twitter for Android,0,8,0.9425,Place,Venezuela,252,275,https://t.co/mwmF9wHTlV,https://twitter.com/paulacramon/status/1387497256882946048,twitter.com/paulacramon/st…,,,,,,2021-04-28T23:17:21+00:00,es,0,0,0,0,1387546509202317312,119275260,"Venezuela: el país donde el fiscal general quiere sacar provecho del caso de los 2 ""HUMORISTAS"" que pusieron en tela de juicio el gofoundme de un artista enfermo, pero no ha emitido declaración alguna respecto a las acusaciones ya virales y conocidas. https://t.co/mwmF9wHTlV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quoted,1387497256882946048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1386550990766329858,everyone,Twitter for Android,95,103,0.9842,Place,Venezuela,198,221,https://t.co/LsoN99MNn5,https://gofund.me/508667e4,gofund.me/508667e4,,,,,,2021-04-26T05:21:31+00:00,en,0,0,0,0,1386550990766329858,117905831,"@the_efosa Hi, I'm a desperate son loocking for help to make a cirugy for my mother. We are in Venezuela in The middle of The pandemic and comunist chaos. Please take a look our gofoundme campaign. https://t.co/LsoN99MNn5",,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,0,10,the_efosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192401797182349312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1384016409257152514,everyone,TweetDeck,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wU3wog,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,,,,,,2021-04-19T05:30:00+00:00,es,0,0,0,0,1384016409257152514,881901086424145920,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog.",0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1383965645579063303,everyone,Twitter Web App,43,47,0.3235,Person,Anirt,178,201,https://t.co/hVXOytHOyW,https://gofund.me/7a909042,gofund.me/7a909042,,,,,,2021-04-19T02:08:17+00:00,es,0,0,0,0,1383965645579063303,758349808017010688,"Aún falta mucho, todavía los familiares de Anirt necesitan ayuda, son momentos muy fuertes para toda su familia

#Servicioupblico #RT #gofoundme #Venezuela 

En memoria de Anirt https://t.co/hVXOytHOyW",113,129,Servicioupblico,130,133,RT,134,144,gofoundme,,,,,,,145,155,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1383903162701070336,everyone,TweetDeck,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wUl7MQ,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,,,,,,2021-04-18T22:00:00+00:00,es,1,0,0,0,1383903162701070336,881901086424145920,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wUl7MQ.",0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1383699320143171584,everyone,TweetDeck,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wU3wog,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,,,,,,2021-04-18T08:30:00+00:00,es,0,0,0,0,1383699320143171584,881901086424145920,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog.",0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1383490442847612944,everyone,TweetDeck,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wU3wog,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,,,,,,2021-04-17T18:40:00+00:00,es,0,0,0,0,1383490442847612944,881901086424145920,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog.",0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1383115472099500032,everyone,TweetDeck,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wUl7MQ,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,,,,,,2021-04-16T17:50:00+00:00,es,0,0,0,0,1383115472099500032,881901086424145920,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wUl7MQ.",0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1382914146233061379,everyone,TweetDeck,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/8sbH0pN3v3,https://bit.ly/3mPAg9s,bit.ly/3mPAg9s,,,,,,2021-04-16T04:30:00+00:00,es,1,0,1,0,1382914146233061379,881901086424145920,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/8sbH0pN3v3.",0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1382873880239374343,everyone,TweetDeck,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/Vmz7wU3wog,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,,,,,,2021-04-16T01:50:00+00:00,es,0,0,0,0,1382873880239374343,881901086424145920,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog.",0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1382798382771625987,everyone,TweetDeck,57,65,0.3692,Person,GoFoundMe,146,169,https://t.co/Vmz7wUl7MQ,http://bit.ly/3mPAg9s,bit.ly/3mPAg9s,171,194,https://t.co/5npVPHuxV3,https://twitter.com/TodosAhora_Ve/status/1382798382771625987/photo/1,pic.twitter.com/5npVPHuxV3,2021-04-15T20:50:00+00:00,es,0,0,0,1,1382798382771625987,881901086424145920,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wUl7MQ. https://t.co/5npVPHuxV3",0,19,VENEZUELAENELMUNDO,,,,,,,31382793872695304197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1382735894025809921,everyone,Twitter Web App,57,65,0.4041,Person,GoFoundMe,146,169,https://t.co/8sbH0pvsDv,https://bit.ly/3mPAg9s,bit.ly/3mPAg9s,,,,,,2021-04-15T16:41:41+00:00,es,0,0,1,0,1382735894025809921,881901086424145920,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/8sbH0pvsDv.",0,19,VENEZUELAENELMUNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1381696918804369409,everyone,Twitter Web App,46,54,0.4052,Organization,GoFoundMe,248,271,https://t.co/92niOu75dH,https://bit.ly/3a6xqYB,bit.ly/3a6xqYB,,,,,,2021-04-12T19:53:10+00:00,es,5,0,1,0,1381696870775394304,147589125,"Desde el #1Abr se han abierto 210 campañas de GoFoundMe para cubrir gastos médicos por covid-19. Hay campañas que buscan recaudar desde $2.000 hasta $100.000, en las cuales siempre se hace énfasis en la precaria situación hospitalaria de Venezuela https://t.co/92niOu75dH",9,14,1Abr,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147589125,replied_to,1381696909824421895,,238,246,0.9796,Place,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1380531519635218433,everyone,elperiodicodm,0,8,0.9347,Place,Venezuela,63,86,https://t.co/gBVWf5yI90,https://is.gd/hNUMuT,is.gd/hNUMuT,157,180,https://t.co/nbtNW0S88z,https://twitter.com/elPeriodicoDM/status/1380531519635218433/photo/1,pic.twitter.com/nbtNW0S88z,2021-04-09T14:42:17+00:00,es,1,0,0,0,1380531519635218433,1180076120,Venezuela recurre a GoFoundMe para luchar contra el Covid-19 - https://t.co/gBVWf5yI90 #9Abr #venezuela #coronavirus @VozdeAmerica Redacción: @JoalexPinango https://t.co/nbtNW0S88z,87,92,9Abr,93,103,venezuela,104,116,coronavirus,31380531517752016896,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,117,130,VozdeAmerica,142,156,JoalexPinango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,28,0.4122,Person,GoFoundMe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1379775455247630337,everyone,Twitter for Android,47,57,0.9918,Person,Juan Guaidó,148,171,https://t.co/aBqcQt7qtX,https://twitter.com/luisgil77/status/1379605516335341573,twitter.com/luisgil77/stat…,,,,,,2021-04-07T12:37:58+00:00,es,0,0,0,0,1379775455247630337,1360517154160988163,La educación de este nuevo hijo del presidente Juan Guaidó requiere de un GoFoundMe para pagar el semestre de la #UCAB en $1500 dólares #Venezuela. https://t.co/aBqcQt7qtX,113,118,UCAB,136,146,Venezuela,,,,,10,Person,Named people in the world like Nelson Mandela,1085232510924029952,Juan Guaido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quoted,1379605516335341573,Juan Guaido,74,82,0.4395,Organization,GoFoundMe,10,Person,Named people in the world like Nelson Mandela,1145827180380733440,Alberto Ravell,35,Politician,"Politicians in the world, like Joe Biden",1085232510924029952,Juan Guaido,Juan Guaido,94,Journalist,A journalist like 'Anderson Cooper',1145827180380733440,Alberto Ravell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1379330115646132226,everyone,Twitter for iPhone,3,9,0.5721,Product,Twitter,270,293,https://t.co/gr3uXdJTu3,https://twitter.com/LuisCarlos/status/1379203638082613253,twitter.com/LuisCarlos/sta…,,,,,,2021-04-06T07:08:20+00:00,en,0,0,0,0,1379330115646132226,867121033,"My Twitter/Facebook feeds are full of GoFoundMe campaigns for #COVIDー19 treatments. In Venezuela the lack of a functional health system means that if you or your family member get severe Covid, you have to rely on the charity of others to have any chance to survive it. https://t.co/gr3uXdJTu3",62,71,COVIDー19,,,,,,,,46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,781974596752842752,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quoted,1379203638082613253,,11,18,0.5937,Organization,Facebook,47,Brand,Brands and Companies,10029202045,Facebook,47,Brand,Brands and Companies,10045225402,Twitter,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,38,46,0.4701,Organization,GoFoundMe,87,95,0.9496,Place,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
